"","la","urn","school","school_description","adm_policy","num_pupils","perc_boys","perc_girls","perc_fsm","perc_sec_lang","perc_sen","att8","att8_eng","att8_maths","att8_fsm","att8_nonfsm","school_type","gender","att8_17"
"2082",860,124391,"Paulet High School","CY","NSE",126,59,41,26,15,7,43,9.3,8.1,33.5,46.4,"State School","Mixed",42.4
"2083",860,124392,"Paget High School","CY","NSE",156,49,51,28,45,12,39.9,8.9,8.1,32.3,42.9,"State School","Mixed",41.8
"2084",860,145047,"Sir Thomas Boughey Academy","ACC","NSE",128,52,48,23,1,7,40.8,8.7,7.5,33.9,43,"State School","Mixed",43.8
"2085",860,136323,"John Taylor High School","ACC","NSE",223,47,53,10,6,5,57.6,12,11,53,58.1,"State School","Mixed",54.4
"2086",860,124395,"Norton Canes High School","CY","NSE",72,43,57,29,0,11,35.4,8.8,6.7,35.8,35.2,"State School","Mixed",33.4
"2087",860,124396,"Blythe Bridge High School","FD","NSE",165,53,47,13,1,13,43.5,9.3,8,37.4,44.4,"State School","Mixed",46
"2088",860,142313,"Kingsmead School","ACC","NSE",200,60,41,17,2,15,44.3,10.1,8,38.5,45.5,"State School","Mixed",43.5
"2089",860,124399,"Moorside High School","CY","NSE",145,48,52,23,2,17,49,11.1,9.3,39.5,51.8,"State School","Mixed",50.9
"2090",860,124400,"Codsall Community High School","CY","NSE",206,51,50,17,3,13,44.6,9.8,9.1,43,45,"State School","Mixed",49
"2091",860,124401,"Endon High School","CY","NSE",139,50,50,7,1,10,49.9,10.3,9.8,30.7,51.2,"State School","Mixed",50.4
"2092",860,139708,"The Kidsgrove Secondary School","ACC","NSE",82,56,44,22,1,10,38.5,8.8,8,27.8,41.5,"State School","Mixed",38.1
"2093",860,142711,"Leek High School","ACC","NSE",93,47,53,27,0,8,34.8,7.7,7.7,21.7,39.7,"State School","Mixed",34.5
"2094",860,142755,"Westwood College","ACC","NSE",178,49,51,9,3,4,49,9.7,9.7,38.4,50,"State School","Mixed",44.9
"2095",860,124408,"King Edward VI School","CY","NSE",209,49,51,10,6,7,54.7,11.4,11.2,42.3,56.1,"State School","Mixed",55.1
"2096",860,124409,"Nether Stowe School","CY","NSE",124,49,51,32,7,15,43.8,9.1,8.8,35,47.8,"State School","Mixed",44.3
"2097",860,140154,"Madeley High School","ACC","NSE",115,49,51,15,1,7,46.7,9.8,9.9,27.4,50,"State School","Mixed",46.7
"2098",860,140470,"Chesterton Community Sports College","ACC","NSE",136,46,54,35,4,15,43.2,9.2,7.7,38.8,45.5,"State School","Mixed",42.9
"2099",860,142278,"Clayton Hall Academy","ACC","NSE",192,51,49,16,4,6,47.4,9.9,8.8,43.7,48.1,"State School","Mixed",44.4
"2100",860,142277,"Newcastle Academy","ACC","NSE",74,51,49,35,12,11,36.7,7.7,7.4,32.5,39,"State School","Mixed",32.1
"2101",860,145381,"Wolgarston High School","ACC","NSE",167,50,50,16,1,10,48.7,10.6,9.4,40.9,50.2,"State School","Mixed",NA
"2102",860,142987,"Walton High School","ACC","NSE",208,53,47,8,4,6,51.9,10.6,10.2,39.4,53,"State School","Mixed",50.4
"2103",860,140123,"Alleyne's Academy","ACC","NSE",188,58,42,14,2,12,48.7,9.8,9.8,34.6,51,"State School","Mixed",49.3
"2104",860,138936,"The Wilnecote School","ACC","NSE",133,50,50,25,4,14,42.5,8.5,8.7,30.5,46.4,"State School","Mixed",43.3
"2105",860,124422,"The Friary School","CY","NSE",159,47,53,18,2,11,54.5,11.5,9.2,44.6,56.6,"State School","Mixed",51.5
"2106",860,124425,"Cheslyn Hay Sport and Community High School","CY","NSE",215,51,49,16,1,14,44.2,9.3,8.6,36.7,45.6,"State School","Mixed",42
"2107",860,137356,"Biddulph High School","ACC","NSE",192,52,48,23,0,10,43.3,9.8,9,31.2,47,"State School","Mixed",42.7
"2108",860,144002,"Thomas Alleyne's High School","ACC","NSE",229,50,50,11,2,17,50.1,9.9,9.9,36.6,51.7,"State School","Mixed",47.9
"2109",860,136959,"The Cheadle Academy","ACC","NSE",73,49,51,22,0,7,41.7,9.2,7.8,39.7,42.3,"State School","Mixed",46.1
"2110",860,138728,"The Rawlett School (An Aet Academy)","ACC","NSE",195,57,43,17,3,14,44,9.3,7.9,35.1,45.8,"State School","Mixed",48.9
"2111",860,136414,"The de Ferrers Academy","ACC","NSE",340,54,47,22,18,10,43.8,9,10.1,35.3,46.2,"State School","Mixed",47.1
"2112",860,143899,"Chase Terrace Technology College","ACC","NSE",220,49,51,19,1,10,44.9,9.2,8.7,32.3,47.8,"State School","Mixed",45
